"소속회사명","phi","slack","sx1","sx2","sx3","sy1","sy2","sy3","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20","L21","L22","L23","L24","L25","L26","L27","L28","L29","L30","L31","L32","L33","L34","L35","L36","L37","L38","L39","L40","L41","L42","L43","L44","L45","L46","L47","L48","L49"
"(주)스튜디오플로우","1.12292584121025","TRUE","0","0","787.675386902271","0","363.000009103054","522.112736032921","0.272935528893909","0","0","0","0","0","0.309333122486168","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.417731348619924","0","0","0","0","0","0","0","0"
"(주)쓰리와이코프레이션","1.16468349897882","TRUE","7580.50371882419","0","264.295739795535","3199.63570165285","0","0","0","0","0","0","0","0","0.00231783711433719","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.940050686748044","0","0","0","0","0","0","0","0","0","0","0","0.0576314761372848","0","0","0","0","0","0","0","0","0","0"
"(주)씨엠엔피","1.12113232373053","TRUE","27585.4206391691","0","18431.0314498636","2833.16391977764","0","19990.1878016636","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.158230958232299","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.841769041779529","0","0","0","0","0","0","0","0","0","0"
"(주)아이앤아이소프트","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)안테나","1.2799329628279","TRUE","8109.88833597575","0","595.476560430809","1498.48115000779","0","0","0","0","0","0","0","0","0.566431035228052","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.281663776876409","0","0","0","0","0","0","0","0","0","0","0","0.151905187895199","0","0","0","0","0","0","0","0","0","0"
"(주)어썸이엔티","1.06861406029589","TRUE","0","544.452568443781","0","0","0","214.386448847677","0.134206837525244","0","0","0","0","0","0.204099687386391","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.596441594670079","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0652518804178434","0","0","0","0","0","0","0","0"
"(주)엔글","1.09072497111069","TRUE","0","0","0","1831.00324936502","242.136830165291","0","0","0","0","0","0.42493763530863","0","0.0876725259980465","0","0","0","0.0557801816477649","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.431609657045555","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)영화사월광","1.13622381418951","TRUE","3126.35887191696","0","18.2642773208472","2756.29235696767","211.631507922095","0","0","0","0","0","0","0","0.0238542890715644","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.97614571092827","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)오션드라이브스튜디오","2.09135879094701","TRUE","0","976.675324678279","5600.76839826847","15450.457196651","0","9878.42414356018","0","0","0","0","0","0","0.127705627705595","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.87229437229387","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)이담엔터테인먼트","1.00960059957635","TRUE","0","0","410.907448561249","0","120.977155271969","992.909708882973","0.62294959999558","0","0","0","0","0","0.338709403161892","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0383409968425279","0","0","0","0","0","0","0","0"
"(주)이케이게임즈","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)제이와이드컴퍼니","1.04879238620453","TRUE","0","0","0","928.297238234289","84.5305032751641","0","0","0","0","0","0.580354224516792","0","0.087754488586612","0","0","0","0.103622817513727","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.228268469382862","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)카카오벤처스","3.05211437818953","TRUE","157115.045700904","0","0","0","33262.721956097","34284.9939159145","0.0741269406878809","0","0","0","0","0","0.730312230466349","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.195560828845429","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)케이엠세븐","1.10490774142355","TRUE","4991.68576388837","0","10.5989583333427","3180.07144051385","842.412238357499","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.133680555554517","0","0","0","0","0","0","0","0","0","0","0","0.866319444445701","0","0","0","0","0","0","0","0","0","0"
"(주)케이엠솔루션","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)케이엠식스","1.09890554002899","TRUE","7503.18009219164","0","0","2697.69102823717","514.549043172462","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.290103996892275","0","0","0","0","0","0","0","0","0","0","0","0.435083523467592","0.274812479648561","0","0","0","0","0","0","0","0","0"
"(주)케이엠쓰리","1.08818136142261","TRUE","6146.47792654043","0","0","2193.16037891842","203.700683871101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.288050633627589","0","0","0","0","0","0","0","0","0","0","0","0.0373832903198253","0.674566076063371","0","0","0","0","0","0","0","0","0"
