"소속회사명","phi","slack","sx1","sx2","sx3","sy1","sy2","sy3","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20","L21","L22","L23","L24","L25","L26","L27","L28","L29","L30","L31","L32","L33","L34","L35","L36","L37","L38","L39","L40","L41","L42","L43","L44","L45","L46","L47","L48","L49"
"(주)스튜디오플로우","1.5383127440858","TRUE","4378.88939671047","0","638.760511883174","0","116334.104626332","119220.120747042","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.91499085923029","0","0","0","0","0","0","0","0","0","0"
"(주)쓰리와이코프레이션","1.71775582026628","TRUE","6941.41639522752","0","237.617861105071","0","1064.12315997801","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0111752082878376","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.50093373408387","0","0","0","0","0","0","0","0","0","0"
"(주)씨엠엔피","1.59304903540439","TRUE","26520.4799710605","0","18356.4430977184","0","0","28563.0126004403","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.921496084782622","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.551765503435436","0","0","0","0","0","0","0","0","0","0"
"(주)아이앤아이소프트","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)안테나","1.70819427756271","TRUE","14575.5405240715","0","419.622181596718","0","73866.2767389526","75370.9510380704","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.64960390005955","0","0","0","0","0","0","0","0","0","0"
"(주)어썸이엔티","1.1567678382187","TRUE","0","0","0","0","15109.0783083733","15341.7887210736","0","0","0","0","0","0","0.230451964312402","0","0","0","0.254454884684458","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0730456947497","0","0","0","0","0","0","0","0","0","0"
"(주)엔글","1.24578563003412","TRUE","0","0","0","0","550.796948342519","0","0","0","0","0","0.567620540959182","0","0.0686194397579085","0","0","0","0.106057900927458","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.423359107237151","0","0","0","0","0","0","0","0","0","0"
"(주)영화사월광","1.54629902172072","TRUE","2150.47156218969","0","0","0","1554.834784001","249.812733670976","0","0","0","0","0","0","0.049379527481507","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.35185219348404","0","0","0","0","0","0","0","0","0","0"
"(주)오션드라이브스튜디오","7.09824676524486","TRUE","0","0","5339.15047123115","12926.0738087186","0","33098.0503334894","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.775547049647073","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.91525565606415","0","0","0","0","0"
"(주)이담엔터테인먼트","1.41782245341339","TRUE","6699.89853747863","0","113.449725777194","0","163088.855506697","167798.262204877","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.38482632540889","0","0","0","0","0","0","0","0","0","0"
"(주)이케이게임즈","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)제이와이드컴퍼니","1.12168474798196","TRUE","0","0","0","0","240.550930052389","0","0","0","0","0","0.642793862347133","0","0.0777217214730618","0","0","0","0.133368589686947","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.226120100842105","0","0","0","0","0","0","0","0","0","0"
