"소속회사명","theta","slack","sx1","sx2","sx3","sy1","sy2","sy3","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20","L21","L22","L23","L24","L25","L26","L27","L28","L29","L30","L31","L32","L33","L34","L35","L36","L37","L38","L39","L40","L41","L42","L43","L44","L45","L46","L47","L48","L49"
"(주)스튜디오플로우","0.872722191194745","TRUE","0","0","649.541477491974","0","4106.23666768401","4240.96738460787","0.0983421385658936","0","0","0","0","0","0.341301134117358","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.560356727316748","0","0","0","0","0","0","0","0"
"(주)쓰리와이코프레이션","0.584373705844176","TRUE","3794.53870939772","0","120.518203170837","0","4106.38778623868","3613.01312976621","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.194198473282959","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.805801526717041","0","0","0","0","0","0","0","0","0","0"
"(주)씨엠엔피","0.630052867753246","TRUE","16547.812527336","0","11554.2187345264","0","2190.08702289659","20199.0714503896","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.696335877862899","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.303664122137101","0","0","0","0","0","0","0","0","0","0"
"(주)아이앤아이소프트","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)안테나","0.710809530526959","TRUE","6115.36824500499","0","405.595504313219","0","6927.84688668597","6923.84314392922","0","0","0","0","0","0","0.361007145287723","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.638992854712277","0","0","0","0","0","0","0","0","0","0"
"(주)어썸이엔티","0.900068331629266","TRUE","0","0","0","0","2135.93947977692","2471.7926645791","0.111023779520889","0","0","0","0","0","0.189408012344807","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.669602901036027","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0299653071065248","0","0","0","0","0","0","0","0"
"(주)엔글","0.805232676863674","TRUE","0","0","0","0","2297.47534371604","1970.15720940165","0","0","0","0","0.562118931506656","0","0.0548998651702479","0","0","0","0.0599488368192427","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.323032366503851","0","0","0","0","0","0","0","0","0","0"
"(주)영화사월광","0.654954006566096","TRUE","1510.26492226004","0","0","0","3667.49386419044","3054.58043754263","0","0","0","0","0","0","0.0222024955178248","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.773262675479122","0.204534829003054","0","0","0","0","0","0","0","0","0"
"(주)오션드라이브스튜디오","0.270943770159251","TRUE","0","0","1446.60955812279","4403.30749342402","14797.4621622772","20059.3445838075","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.210129641569136","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.789870358430771","0","0","0","0","0"
"(주)이담엔터테인먼트","0.989310402126576","TRUE","0","0","403.333584237017","0","448.001046885956","1311.07320165398","0.604544629730928","0","0","0","0","0","0.341080258966348","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0543751113027234","0","0","0","0","0","0","0","0"
"(주)이케이게임즈","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)제이와이드컴퍼니","0.893016686840831","TRUE","0","0","0","0","1285.5114909243","1137.60990115963","0","0","0","0","0.63485452255293","0","0.0692013818655124","0","0","0","0.104362539364909","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.191581556216645","0","0","0","0","0","0","0","0","0","0"
"(주)카카오벤처스","0.306516798753996","TRUE","47968.0792811673","0","0","0","31565.9683543346","32957.9975497967","0","0","0","0","0.708322268166439","0","0.244218667211341","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0474590646222202","0","0","0","0","0","0","0","0","0"
"(주)케이엠세븐","0.712544252354087","TRUE","3199.71879025288","0","0","0","2019.66408296282","1834.77490149584","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.163374702786151","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0945396425009289","0.74208565471292","0","0","0","0","0","0","0","0","0"
"(주)케이엠솔루션","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)케이엠식스","0.726389102584133","TRUE","5172.52148606926","0","0","0","1979.84845370602","1894.21892133183","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.050808644089038","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0339317779744063","0.915259577936556","0","0","0","0","0","0","0","0","0"
"(주)케이엠쓰리","0.791308164809234","TRUE","4656.55768069147","0","0","677.959554215388","2086.21205808818","2041.75696395807","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00741280218532215","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.992587197814675","0","0","0","0","0","0","0","0","0"
"(주)케이엠원","0.631928493228753","TRUE","2397.54614466275","0","35.8808773376368","0","2810.22595418536","2221.01709923778","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.427328244275227","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.572671755724773","0","0","0","0","0","0","0","0","0","0"
"(주)케이엠투","0.993625498007968","TRUE","5575.10996068198","0","39.9800796849999","1933.00000018158","1949.00000018753","1428.00000014882","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)케이엠파이브","0.873303301338667","TRUE","4861.12971859096","0","0","1226.46335878449","1878.31787339769","1682.39231940134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.302704748730792","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.697295251269008","0","0","0","0","0","0","0","0","0"
"(주)케이엠파킹앤스페이스","0.809172731467606","TRUE","11208.8575820856","0","1443.4888192008","0","4215.56518914018","4992.6137523622","0","0","0","0","0","0","0.390237866930857","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.609762133069143","0","0","0","0","0","0","0","0","0","0"
"(주)케이엠포","0.74279850657283","TRUE","4138.25189791993","0","0","184.310593634432","1971.34656997194","1898.41367083777","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0697718787339282","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.93022812126607","0","0","0","0","0","0","0","0","0"
"(주)키위바인","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"(주)파괴연구소","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"(주)플레이하드","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"(주)필연매니지먼트","0.655008339352031","TRUE","3288.30816807433","0","0","0","2764.41817675995","2296.41022574253","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.262921852325779","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.53314943794288","0.20392870973134","0","0","0","0","0","0","0","0","0"
"(주)하이업엔터테인먼트","0.782764139913942","TRUE","0","0","177.401923146786","0","2827.3247190061","2436.9690413989","0","0","0","0","0","0","0.10617603660226","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.158002512738863","0","0","0","0","0","0","0","0","0","0","0","0.735821450658877","0","0","0","0","0","0","0","0","0","0"
"글링크미디어(주)","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"동고택시(주)","0.807775984785177","TRUE","435.362166095375","0","0","801.400988388798","1841.5251347292","1628.9685906193","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.34535198685967","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.654648013140624","0","0","0","0","0","0","0","0","0"
"메가몬스터(주)","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"오오티비(주)","0.666519733930744","TRUE","1674.59702815521","0","62.8208589168796","0","2945.29770990187","2288.25496182658","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.166412213740987","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.833587786259013","0","0","0","0","0","0","0","0","0","0"
"케이피보험서비스(주)","0.823147465417323","TRUE","0","0","2.69432424073558","3515.30475363808","4370.74046342867","4107.76417634544","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.141624760401687","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.858375239598207","0","0","0","0","0"
"트리플라(주)","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
